fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230923 112529	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4014	TRUE	279523	0.0244721266828251	0.655482422075134	4	292	14997	606235000	51
20230923 122244	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3959	TRUE	279523	0.016393896952447	0.999731946972699	37	490	15000	613480000	52
20230923 132243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5979	TRUE	279523	0.0304595757679771	0.587449198685168	32	228	12993	591710000	53
20230923 133255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	831	TRUE	279523	0.176032194683841	0.903235295243867	2986	657	14984	552580000	54
20230923 133933	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	408	TRUE	279523	0.299948934595718	0.964393644876611	1079	730	14077	563955000	55
20230923 140703	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2742	TRUE	279523	0.0411360319889703	0.93070238989624	489	255	14989	612185000	56
20230923 153817	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9981	TRUE	279523	0.0104437055524754	0.747896095286258	456	215	14982	595700000	57
20230923 163211	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5102	TRUE	279523	0.0188832993333771	0.983831816526834	10	328	12939	576695000	58
20230923 165634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2085	TRUE	279523	0.0654522842239056	0.340051056175763	1061	210	14975	587895000	59
20230923 170347	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	436	TRUE	279523	0.251648655794398	0.733017364925147	424	542	12527	556325000	60
20230923 174836	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2633	TRUE	279523	0.0254085041389118	0.881687661607486	204	605	14986	621145000	61
20230923 183151	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2916	TRUE	279523	0.0299065080340734	0.578132459228606	60	538	14998	618835000	62
20230923 185709	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1599	TRUE	279523	0.113074153362682	0.527096539283021	1176	708	14997	598675000	63
20230923 193421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1996	TRUE	279523	0.0303023481607267	0.343370073882577	26	983	14999	615475000	64
20230923 200140	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2082	TRUE	279523	0.0884960915961592	0.849088334319281	1537	589	14994	602630000	65
20230923 201036	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	625	TRUE	279523	0.279614116595257	0.648587397131561	1447	700	12174	528290000	66
20230923 203715	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1368	TRUE	279523	0.0392043900078615	0.357966858241431	14	899	15000	607320000	67
